Name	A549	BGC-823	HEK293	H9	PC-3M-IE8	T/G HA-VSMC	MCF-7	NSC	Panc-1	U251
hsa-miR-151a-5p	N/A	N/A	0.362830722	0.266968326	N/A	N/A	N/A	N/A	0.796536019	0.624791667
hsa-miR-452-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-561-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-448	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-499a-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-95	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
kshv-miR-K12-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-542-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1302	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-616-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-147a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-2276	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-218-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-363-3p	N/A	N/A	N/A	0.276072554	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1252	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-520g	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-136-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.663812581	N/A
hsa-miR-578	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-920	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-10a-5p	N/A	N/A	0.194775927	0.365075661	N/A	N/A	N/A	N/A	N/A	0.499370519
hsa-miR-1204	0.532415245	0.838379737	0.125490601	0.296802013	0.829960553	N/A	0.881840812	0.745322463	N/A	0.621531886
hsa-miR-1254	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1236	0.202047493	N/A	0.16864333	0.372016638	0.486171707	N/A	0.880813632	0.897126675	0.593820516	0.953673263
hsa-miR-205-5p	N/A	N/A	N/A	0.243310385	N/A	N/A	N/A	N/A	N/A	0.802719196
hsa-miR-409-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.995259914	0.933165761	N/A
hsa-miR-7-2-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-503	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1539	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsv2-miR-H3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3179	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-335-3p	0.321857483	0.798200255	0.333848968	0.367386559	0.831661749	0.993779682	0.708668864	0.633579549	0.815336738	0.757681554
hsa-miR-367-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-668	N/A	0.172096068	0.506631307	0.30236776	0.7921734	N/A	0.433765512	0.885743989	0.917559776	N/A
hsa-miR-330-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-523-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-655	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-29a-5p	N/A	N/A	N/A	0.268361202	N/A	N/A	N/A	N/A	N/A	0.684250812
hsa-miR-545-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3130-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3133	0.673414775	0.623269142	0.292270442	0.231996406	0.699936339	N/A	0.922658906	N/A	0.951824293	0.632532449
hsa-miR-3173-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-92b-3p	0.392897683	0.671308731	0.821270991	0.280953402	0.964427461	N/A	N/A	0.703139275	0.668036624	0.443635142
hsa-miR-18a-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-302a-3p	0.219501464	0.762979746	0.179855224	0.170740431	N/A	0.914898418	0.575186482	0.603457109	0.874586379	0.56687224
hsa-miR-4330	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-548s	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
kshv-miR-K12-12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3119	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4325	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4253	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4313	N/A	N/A	N/A	0.414381266	N/A	N/A	N/A	N/A	N/A	N/A
hsv1-miR-H12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-374c-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3915	0.45888964	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3606	0.27191294	N/A	0.387861019	0.302401695	0.992792962	N/A	0.73868153	0.602226822	N/A	0.527877332
hsa-miR-3610	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4251	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3662	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3692-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3613-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4306	0.392246643	0.645833193	0.656915728	0.152826973	N/A	0.668957986	0.778094832	0.582637681	0.698304958	0.302199252
hsv1-miR-H3*	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1247-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3178	0.144591262	N/A	N/A	0.151929499	N/A	0.762415349	N/A	0.662344584	N/A	0.20166936
hsv1-miR-H1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3074-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1911-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-548j	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-423-5p	N/A	N/A	0.152109822	0.302856436	0.837715724	N/A	N/A	0.723001607	N/A	0.340015744
hsa-miR-4478	0.385124087	0.498355757	0.232007694	0.30383812	0.891587621	N/A	0.932179922	N/A	N/A	N/A
hsa-miR-4687-5p	N/A	N/A	0.258961531	N/A	N/A	N/A	N/A	0.745162389	N/A	N/A
hsa-miR-766-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4710	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4789-3p	N/A	N/A	N/A	N/A	0.864829449	N/A	N/A	N/A	N/A	N/A
hsa-miR-4433-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5194	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4656	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4463	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4746-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5695	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4722-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5581-3p	0.701447204	0.217956247	N/A	0.293036382	N/A	0.820400002	0.406069642	0.494515538	0.67218798	0.464620476
hsa-miR-1260b	0.780040061	0.215846087	0.729716386	0.40860176	0.934971046	0.842008954	0.693532099	0.569694887	0.549761796	0.371207158
hsa-miR-1290	0.214182477	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-548au-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5580-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1255b-2-3p	N/A	N/A	N/A	0.297356929	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4477b	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3189-5p	N/A	N/A	N/A	0.341829673	N/A	N/A	0.837270334	N/A	0.623695399	N/A
hsa-miR-3194-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-499b-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4759	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4798-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4799-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4526	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-548am-5p/hsa-miR-548au-5p/hsa-miR-548c-5p/hsa-miR-548o-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4709-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5571-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5704	0.590745123	0.983562283	0.584673714	0.173211195	0.59808362	N/A	N/A	N/A	0.959317434	0.412661962
hsa-miR-4443	0.887883632	0.824360796	0.315495361	0.491066575	0.69723101	N/A	0.59905917	0.849491405	0.476638655	0.678424045
hsa-miR-17-5p	N/A	0.798318654	N/A	0.181161489	N/A	N/A	N/A	N/A	N/A	0.608719342
hsa-miR-4493	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5186	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4760-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5587-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5582-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4725-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3614-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4737	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1260a	0.965196478	0.226790547	N/A	0.28547313	N/A	0.550018578	0.512389857	0.531624243	0.667066644	0.2802692
hsa-miR-425-5p	N/A	0.265567119	N/A	N/A	N/A	N/A	0.933837901	0.961776527	0.585432059	0.644846703
hsa-miR-125b-5p	N/A	0.839345326	0.385390566	0.3618298	N/A	N/A	N/A	0.738692184	0.500007772	0.326656753
hsa-miR-518e-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ebv-miR-BART19-5p	N/A	N/A	N/A	0.371408398	N/A	N/A	N/A	N/A	N/A	N/A
ebv-miR-BART1-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-372	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ebv-miR-BART16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-592	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-521	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
